AcquisitionMatrix	EchoNumbers	EchoTime	FlipAngle	ImagingFrequency	InPlanePhaseEncodingDirection	InversionTime	MagneticFieldStrength	NumberOfEchoes	PixelBandwidth	PixelSpacing	PulseSequenceName	RepetitionTime	SOPInstanceUID	ScanningSequence	SequenceVariant	SliceThickness	TriggerTime
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.880142004280615040820016567708	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.924026899342594390906474226734	EP/SE	NONE	3.000000	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.102727114215410694052029340104	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.133925432174031796188829065503	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.140511340608757101067796036202	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.151879636361673875803790939300	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.166364614768977416090332156086	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.168520664577311697407117225810	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.169197782275231858817177810027	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.170409110881652491108721605872	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.178563015192742719586050241117	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.202688372960262998549607649543	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.219148701289432668293054265157	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.220042253870385134153448717262	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.231560032905308337369997984911	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.234005764628884352118002258140	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.250800096068928862740572968817	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.252914712899276640518217423577	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.255410104656685650647180997402	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.257739760068990036396587269085	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.266727509613528232945770718969	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.300318639736294609557413888677	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.310127538711364381115869277939	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.338160967063476434497904829861	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.370600917744857953104224456287	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.432859016322506707145731514397	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.598587413292704504408076269487	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.650851159399636799689709628127	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.665705848964842677956816859295	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.753259569424779415387122262863	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.840386635709165892843184094259	SE	SK/OSP	3	
0/384/224/0	1	97.2	90	127.737046	ROW	0	3		122.07	0.2734/0.2734		3350	1.3.6.1.4.1.14519.5.2.1.3671.4754.955146985669859835371998205638	SE	SK/OSP	3	
0/384/224/0	1	97.992	90	127.737037	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.113359650371011080143906224336	SE	SK/OSP	3	
0/384/224/0	1	97.992	90	127.737037	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.116015478569519819650072785793	SE	SK/OSP	3	
0/384/224/0	1	97.992	90	127.737037	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.119901701957521023923747211883	SE	SK/OSP	3	
0/384/224/0	1	97.992	90	127.737037	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.152206649564056445447126569146	SE	SK/OSP	3	
0/384/224/0	1	97.992	90	127.737037	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.163967826831392474938575219494	SE	SK/OSP	3	
