Columns	ConvolutionKernel	FrameOfReferenceUID	ImageOrientationPatient	ImagePositionPatient	PixelSpacing	ReconstructionMethod	Rows	SOPInstanceUID	SliceThickness
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-537.771	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.161045896391994111092322147943	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-264.396	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.162727493799641696559685014328	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-115.896	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.162914555602607876618243607159	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-456.771	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.165269046677668333613082312540	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-223.896	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.166607261775154062897659137335	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-497.271	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.167614719429281024015872618342	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-294.771	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.174446802475095068087749960821	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-416.271	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.175649766484845945490980098539	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-520.896	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.179101736587616017638656999329	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-48.396	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.181179327689898598596538226510	3.3750001
